match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T207136,RCB Vs LSG,LSG,KrunalPandya,4,0,39,1,9.75,4,4,1,1,0
T207136,RCB Vs LSG,LSG,AveshKhan,4,0,44,1,11,10,6,1,2,0
T207136,RCB Vs LSG,LSG,RaviBishnoi,4,0,45,1,11.25,8,2,4,1,0
T207136,RCB Vs LSG,RCB,MohammedSiraj,4,0,41,1,10.25,10,1,4,2,0
T207136,RCB Vs LSG,RCB,JoshHazlewood,4,0,43,3,10.75,11,3,3,3,0
T207136,RCB Vs LSG,RCB,ShahbazAhmed,4,0,35,0,8.75,6,1,2,2,0
T207136,RCB Vs LSG,RCB,WaninduHasaranga,4,0,42,1,10.5,5,1,4,0,0
T207136,RCB Vs LSG,RCB,HarshalPatel,4,0,25,1,6.25,11,0,1,3,0
T203302,RR Vs GT,GT,MohammedShami,4,0,43,1,10.75,11,6,1,2,0
T203302,RR Vs GT,GT,YashDayal,4,0,46,1,11.5,11,5,2,2,1
T203302,RR Vs GT,GT,AlzarriJoseph,2,0,27,0,13.5,4,3,2,0,0
T203302,RR Vs GT,GT,RashidKhan,4,0,15,0,3.75,10,0,0,0,0
T203302,RR Vs GT,GT,SaiKishore,4,0,43,1,10.75,4,4,2,1,0
T203302,RR Vs GT,GT,HardikPandya,2,0,14,1,7,4,1,0,1,0
T203302,RR Vs GT,RR,TrentBoult,4,0,38,1,9.5,8,6,0,0,0
T203302,RR Vs GT,RR,PrasidhKrishna,3.3,0,40,0,11.42,10,3,3,1,0
T203302,RR Vs GT,RR,RavichandranAshwin,4,0,40,0,10,5,4,1,3,0
T203302,RR Vs GT,RR,YuzvendraChahal,4,0,32,0,8,5,1,2,0,0
T203302,RR Vs GT,RR,ObedMcCoy,4,0,40,1,10,4,5,0,3,1
T204029,SRH Vs PK,PK,LiamLivingstone,4,0,25,0,6.25,8,1,1,0,0
T204029,SRH Vs PK,PK,ArshdeepSingh,4,0,25,0,6.25,10,3,0,0,0
T204029,SRH Vs PK,PK,KagisoRabada,4,0,38,1,9.5,10,4,1,3,0
T204029,SRH Vs PK,PK,NathanEllis,4,0,40,3,10,11,3,3,1,1
T204029,SRH Vs PK,PK,HarpreetBrar,4,0,26,3,6.5,11,2,1,0,0
T204029,SRH Vs PK,SRH,BhuvneshwarKumar,2,0,22,0,11,4,3,1,0,0
